source,target,weight,relationship
Neha Kakkar,Sunidhi Chauhan,1,artist_artist
I Prevail,ILLENIUM,1,artist_artist
Nikhita Gandhi,Tanishk Bagchi,2,artist_artist
A.R. Rahman,Gulzar,3,artist_artist
Wiener Sängerknaben,phil Blech Wien,3,artist_artist
Arijit Singh,Sukriti Kakar,1,artist_artist
Alessia Cara,Andrés Calamaro,1,artist_artist
Cosmic Gate,Diana Miro,3,artist_artist
Charli XCX,Tove Lo,1,artist_artist
Ellie Goulding,Juice WRLD,4,artist_artist
Atif Aslam,Harshdeep Kaur,1,artist_artist
Anne-Marie,Doja Cat,1,artist_artist
A Boogie Wit da Hoodie,David Guetta,3,artist_artist
ILLENIUM,Quinn XCII,1,artist_artist
Pharrell Williams,Sky,1,artist_artist
G-Eazy,Jack Harlow,1,artist_artist
Chencho Corleone,Rauw Alejandro,2,artist_artist
Armaan Malik,Asees Kaur,1,artist_artist
Marisa Monte,Nação Zumbi,1,artist_artist
Camilo,Dimitri Vegas,1,artist_artist
Clean Bandit,iann dior,2,artist_artist
Icona Pop,Tove Lo,1,artist_artist
Armaan Malik,Pritam,2,artist_artist
J Balvin,ROSALÍA,1,artist_artist
Pritam,Romy,2,artist_artist
Jonas Blue,R3HAB,1,artist_artist
BTS,Sia,1,artist_artist
Cheat Codes,Demi Lovato,1,artist_artist
Rampa,Solomun,1,artist_artist
Dylan Matthew,R3HAB,1,artist_artist
Anne-Marie,Sean Paul,5,artist_artist
Charlie Puth,Sasha Alex Sloan,1,artist_artist
Dimitri Vegas,Wiz Khalifa,1,artist_artist
Gorgon City,Stevie Appleton,1,artist_artist
Kiiara,SLANDER,2,artist_artist
Don Diablo,Galantis,1,artist_artist
KSHMR,Yves V,1,artist_artist
David Guetta,Sam Smith,1,artist_artist
DaBaby,Dua Lipa,5,artist_artist
Don Omar,Sharlene Taule,1,artist_artist
Nucleya,Sukriti Kakar,1,artist_artist
Badshah,Payal Dev,6,artist_artist
KSHMR,Lost Stories,1,artist_artist
Manuel Turizo,Rauw Alejandro,2,artist_artist
Rema,Selena Gomez,1,artist_artist
Justin Jesso,Kygo,1,artist_artist
Daddy Yankee,KAROL G,2,artist_artist
Anirudh Ravichander,Nikhita Gandhi,1,artist_artist
Bad Bunny,Darell,2,artist_artist
Drake,PARTYNEXTDOOR,1,artist_artist
Foxes,Zedd,3,artist_artist
Myke Towers,Selena Gomez,1,artist_artist
Coldplay,The Chainsmokers,2,artist_artist
Ankur Tewari,Nikhil Vasudevan,1,artist_artist
Alok,KSHMR,2,artist_artist
Charlie Puth,Selena Gomez,2,artist_artist
Armand Van Helden,Kideko,1,artist_artist
Payal Dev,Rahat Fateh Ali Khan,1,artist_artist
Atif Aslam,Chinmayi,2,artist_artist
Hardwell,Mike Williams,1,artist_artist
Bad Bunny,Dua Lipa,4,artist_artist
Nacho,TINI,4,artist_artist
Alok,Marshmello,1,artist_artist
Chinmayi,Pritam,1,artist_artist
Daddy Yankee,Major Lazer,1,artist_artist
DJ Snake,Travis Scott,1,artist_artist
Asees Kaur,Meet Bros.,1,artist_artist
Chris Brown,Konshens,1,artist_artist
Kausar Munir,Lothika,4,artist_artist
Clinton Cerejo,DJ Aftab,1,artist_artist
Dia Frampton,Jason Ross,4,artist_artist
The Weeknd,Ty Dolla $ign,3,artist_artist
Charlie Puth,HUGEL,1,artist_artist
Benny Benassi,Tiësto,1,artist_artist
ILLENIUM,NGHTMRE,1,artist_artist
Anupam Roy,Shreya Ghoshal,2,artist_artist
Daddy Yankee,Nicky Jam,2,artist_artist
G-Eazy,Martin Garrix,1,artist_artist
DIVINE,Stylo G,1,artist_artist
Florida Georgia Line,Russell Dickerson,1,artist_artist
Jaume Berenguer,Juan Magán,1,artist_artist
Amaal Mallik,Tanishk Bagchi,1,artist_artist
Anitta,Justin Quiles,1,artist_artist
BTS,Megan Thee Stallion,1,artist_artist
070 Shake,Swedish House Mafia,1,artist_artist
Jonas Brothers,Sebastian Yatra,2,artist_artist
Lunay,Rauw Alejandro,1,artist_artist
Camila Cabello,Ed Sheeran,2,artist_artist
Maluma,Sech,3,artist_artist
J Balvin,Nio Garcia,1,artist_artist
INNA,Yves V,1,artist_artist
Chris Lake,Green Velvet,1,artist_artist
Arijit Singh,Chinmayi,3,artist_artist
French Montana,Juicy J,1,artist_artist
24kGoldn,Mabel,1,artist_artist
Bebe Rexha,G-Eazy,1,artist_artist
Demi Lovato,blackbear,1,artist_artist
Public Enemy,The Prodigy,1,artist_artist
Alok,Stefy De Cicco,1,artist_artist
Daddy Yankee,Justin Bieber,5,artist_artist
Becky G,Natti Natasha,6,artist_artist
Darell,J Balvin,2,artist_artist
Clinton Cerejo,Shankar,1,artist_artist
Amit Trivedi,Palak Muchhal,1,artist_artist
David Guetta,Nicki Minaj,2,artist_artist
A Touch Of Class,R3HAB,2,artist_artist
