artist,primary_genre,n_tracks,popularity_mean,popularity_max
Fuse ODG,Rap / Hiphop,7,57.22222222222222,67
Usher,Pop,15,20.933333333333334,70
Novo Amor,House / Electronic,45,58.25,75
Alisha Chinai,World,4,60.0,73
Zendaya,Pop,9,53.714285714285715,76
PollyAnna,House / Electronic,3,23.666666666666668,69
Chencho Corleone,World,17,25.846153846153847,97
MEDUZA,House / Electronic,22,26.524590163934427,85
Therion,Rock,18,22.17948717948718,26
Maria Becerra,World,26,9.472222222222221,81
James Hype,House / Electronic,33,25.25609756097561,90
THE ORAL CIGARETTES,Pop,1,69.0,69
Kid Ink,House / Electronic,4,55.25,74
Ozzy Osbourne,Rock,10,49.73684210526316,78
Nickelback,Rock,29,56.285714285714285,80
Trevor Guthrie,House / Electronic,3,57.4,67
New Bomb Turks,Rock,3,33.0,35
GIMS,World,6,56.5,63
Speed Radio,House / Electronic,5,54.875,77
Blackstreet,House / Electronic,7,46.3,77
Demi Lovato,House / Electronic,29,36.075471698113205,81
Pharrell Williams,House / Electronic,18,48.09375,82
Adriatique,House / Electronic,6,46.92307692307692,59
Solomun,House / Electronic,38,29.879310344827587,58
Eric Clapton,Blues,12,61.285714285714285,76
Russell Dickerson,House / Electronic,5,62.142857142857146,75
Leo Stannard,House / Electronic,7,44.09090909090909,70
Boney M.,House / Electronic,30,51.875,80
The Glitch Mob,House / Electronic,2,56.333333333333336,65
Leiva,World,13,43.8125,64
A7S,House / Electronic,26,12.775,80
Mr. Vegas,Rap / Hiphop,12,16.733333333333334,43
Prezioso,House / Electronic,2,74.5,80
Sam Feldt,House / Electronic,8,60.733333333333334,74
Mark Knight,House / Electronic,5,9.875,40
Sickflip,House / Electronic,6,44.285714285714285,51
Lauana Prado,World,26,47.111111111111114,53
Allman Brothers Band,Rock,3,13.117647058823529,72
DIVINE,Rap / Hiphop,17,57.0,67
Worakls,House / Electronic,20,49.03125,60
"Fear, and Loathing in Las Vegas",Rock,3,59.06666666666667,62
Maffio,World,2,0.0,0
Can Bonomo,World,11,40.705882352941174,45
Clinton Kane,Indie,13,64.0,77
Sooraj Santhosh,Pop,6,49.3,63
Johannes Bornlöf,Acoustic,9,0.0,0
Sabrina Carpenter,House / Electronic,6,66.08333333333333,74
Stephan Bodzin,House / Electronic,26,36.17777777777778,50
Bush,Rock,4,19.428571428571427,63
The Strumbellas,Indie,1,63.25,64
Martin Garrix,House / Electronic,88,57.645669291338585,79
Liam Payne,House / Electronic,6,28.529411764705884,67
Eli & Fur,House / Electronic,5,52.375,59
Red Hot Chili Peppers,Rock,49,41.132075471698116,82
Swedish House Mafia,House / Electronic,39,30.52173913043478,83
Monali Thakur,World,5,53.285714285714285,63
Black V Neck,House / Electronic,5,13.307692307692308,63
Lulu Santos,World,21,35.68421052631579,48
Víkingur Ólafsson,Acoustic,6,41.55555555555556,64
Biquini Cavadão,Alternative,30,40.69230769230769,52
Aloe Blacc,House / Electronic,13,21.071428571428573,72
RANDALL,House / Electronic,8,43.06666666666667,63
BTS,Pop,165,68.8695652173913,92
Boy In Space,House / Electronic,3,51.8,63
Jasmine Thompson,House / Electronic,4,56.125,67
Mustard,R&B,4,34.333333333333336,79
Nucleya,Indie,22,49.013333333333335,66
Yade Lauren,House / Electronic,3,57.333333333333336,63
Dia Frampton,House / Electronic,14,38.625,52
Pia Mia,House / Electronic,6,31.9,61
Maribou State,House / Electronic,13,61.2,68
iann dior,House / Electronic,10,51.65,83
Miss Kittin,House / Electronic,3,17.2,42
Marcelo Falcão,World,10,45.529411764705884,50
Da Tweekaz,House / Electronic,20,48.21739130434783,64
The Weeknd,House / Electronic,48,39.078947368421055,91
Sukriti Kakar,Indie,4,48.166666666666664,60
