source,target,relationship
Dua Lipa,No Lie - Sam Feldt Remix,artist_track
Tiësto,Selfish Love (with Selena Gomez) - Tiësto Remix,artist_track
Tiësto,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],artist_track
Katy Perry,When I'm Gone,artist_track
The Weeknd,Odd Look,artist_track
Ty Dolla $ign,Pineapple,artist_track
Sean Paul,Midas Touch (2022 Remastered),artist_track
Sean Paul,Mad Love,artist_track
David Guetta,Freedom,artist_track
Ty Dolla $ign,"Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)",artist_track
Robin Schulz,The Motto - Robin Schulz Remix,artist_track
The Weeknd,Tears In The Club (feat. The Weeknd),artist_track
Robin Schulz,Willst du - Radio Mix,artist_track
Sean Paul,No Lie - Delirious & Alex K Remix,artist_track
Camila Cabello,My Oh My (feat. DaBaby),artist_track
Sean Paul,Fuego,artist_track
Sean Paul,Weed Problems,artist_track
Tiësto,I’ll Take You High,artist_track
Sean Paul,Dangerous Love,artist_track
Sean Paul,Like Glue,artist_track
Tiësto,Jackie Chan,artist_track
David Guetta,I'm Good (Blue) - REAPER Remix,artist_track
Ty Dolla $ign,Universe,artist_track
David Guetta,Promises (with Sam Smith) - David Guetta Remix,artist_track
Skrillex,Red Lips (feat. Sam Bruno) - Skrillex Remix,artist_track
David Guetta,Love Tonight - David Guetta Remix Edit,artist_track
Sean Paul,Summer Paradise (feat. Sean Paul) - Single Version,artist_track
Sean Paul,Break It Off (feat. Rihanna),artist_track
Dua Lipa,One Kiss (with Dua Lipa) - R3HAB Remix,artist_track
Sean Paul,Earthquake,artist_track
Tiësto,God Is A Dancer (with Mabel),artist_track
Robin Schulz,Prayer in C - Robin Schulz Radio Edit,artist_track
David Guetta,Drive - Edit,artist_track
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,artist_track
Skrillex,Bun Up the Dance,artist_track
Skrillex,Make It Bun Dem,artist_track
Sean Paul,Crick Neck,artist_track
Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),artist_track
David Guetta,Element,artist_track
Sean Paul,Dynamite,artist_track
Sean Paul,Body,artist_track
David Guetta,Instagram,artist_track
Dua Lipa,Un Día (One Day),artist_track
The Weeknd,Die For You,artist_track
Sean Paul,Dynamite (feat. Sia),artist_track
The Weeknd,"Moth To A Flame (with The Weeknd, Moojo) - Moojo Remix",artist_track
Camila Cabello,Hey Ma (with J Balvin & Pitbull feat. Camila Cabello),artist_track
The Weeknd,After Hours,artist_track
Sean Paul,Bad Love,artist_track
Sean Paul,Gimme the Light,artist_track
Camila Cabello,Rockin' Around The Christmas Tree - From The Kacey Musgraves Christmas Show,artist_track
