id,type,genre_category
David Guetta,artist,
Katy Perry,artist,
Skrillex,artist,
Tiësto,artist,
The Weeknd,artist,
What Would You Do?,track,
Where We Started,track,
Red Lights,track,
HUMBLE. - SKRILLEX REMIX,track,
L'amour toujours (feat. Delaney Jane) - Tiësto Edit,track,
Hero,track,
God Is A Dancer (with Mabel),track,
After Hours,track,
Break the Rules - Tiësto Remix,track,
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",track,
God is A DJ,track,
Crazy What Love Can Do,track,
Saint Laurent,track,
Oohla Oohla,track,
"Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)",track,
Bun Up the Dance,track,
Another Life,track,
Love Tonight - David Guetta Remix Edit,track,
Secrets - Radio Edit,track,
I Kissed A Girl,track,
BLUE,track,
Sahara,track,
Pump It Louder,track,
Call Out My Name,track,
I Feel It Coming,track,
Bangarang (feat. Sirah),track,
Selfish Love (with Selena Gomez) - Tiësto Remix,track,
Who You Love (feat. Katy Perry),track,
Bad Man - Skrillex Remix,track,
I’ll Take You High,track,
Moth To A Flame,track,
"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]",track,
Titanium (feat. Sia),track,
Can U Dance (To My Beat),track,
Complicated (feat. Kiiara),track,
The Business - 220 KID Remix,track,
When I'm Gone,track,
365 - Zedd Remix,track,
International - Skrillex Remix,track,
Memories (feat. Kid Cudi),track,
I'm Good (Blue) - Extended,track,
I'm Good (Blue) - REAPER Extended Remix,track,
STARSTRUKK (feat. Katy Perry),track,
Savage,track,
Family Affair (Dance for Me),track,
Babylon (feat. Denzel Curry) - Skrillex & Ronny J Remix,track,
Hot In It,track,
Jackie Chan,track,
Split (Only U),track,
"The Island, Pt. 1 (Dawn) - Skrillex Remix",track,
The Motto - Tiësto’s VIP Mix,track,
Jackie Chan - Keanu Silva Remix,track,
Die For You,track,
Seavolution (From Hotel Transylvania 3),track,
Ritual - Benny Benassi & BB Team Remix,track,
"Moth To A Flame (with The Weeknd, Moojo) - Moojo Remix",track,
Play Hard (feat. Ne-Yo & Akon) - New Edit,track,
Another Love - Tiësto Remix,track,
Mad Love,track,
Cozy Little Christmas,track,
Red Lips (feat. Sam Bruno) - Skrillex Remix,track,
Starboy,track,
2U (feat. Justin Bieber),track,
God Is A Dancer - Toby Green Remix,track,
Let Me Love You - Tiësto's AFTR:HRS Mix,track,
Don't Be Shy,track,
WARLORDZ (feat. Skrillex),track,
Electric - Pokemon 25 Version,track,
In Da Getto,track,
365,track,
Baila Conmigo,track,
Wasted,track,
Over Now (with The Weeknd),track,
Lose You,track,
Out of Time,track,
Freedom,track,
Imagine - Tiësto Remix,track,
Hot In It - Tiësto’s Hotter Mix,track,
Dangerous - David Guetta Banging Remix,track,
Hawái - Remix,track,
Element,track,
Pepas - David Guetta Remix - Radio Edit,track,
Drive,track,
I'm Good (Blue) - REAPER Remix,track,
Your Love (9PM) - Tiësto Remix,track,
Southern Sun - DJ Tiësto Remix,track,
When I’m Gone (with Katy Perry),track,
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,track,
If You Really Love Me (How Will I Know),track,
Supersonic (VIP),track,
Odd Look,track,
Sexy Bitch (feat. Akon),track,
It's Ours,track,
Instagram,track,
Take My Breath - Single Version,track,
You Right,track,
Don’t Go (with Justin Bieber & Don Toliver),track,
Carry You Home (feat. StarGate & Aloe Blacc),track,
Moth To A Flame (feat. The Weeknd) - Adriatique Remix,track,
Pepas - Tiësto Remix,track,
Moth To A Flame (with The Weeknd) - Extended Mix,track,
God Is A Dancer,track,
On Repeat,track,
Promises (with Sam Smith) - David Guetta Remix,track,
Say My Name,track,
Last Friday Night (T.G.I.F.),track,
Purple Lamborghini (with Rick Ross),track,
Or Nah - Remix,track,
I Was Never There,track,
Shot Me Down (feat. Skylar Grey) - Radio Edit,track,
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",track,
Mind (feat. Kai),track,
BOOM,track,
Harleys In Hawaii,track,
Written In Reverse,track,
Nothing Really Matters,track,
Love Me Harder,track,
The Business,track,
Dangerous (feat. Sam Martin),track,
Hot in It,track,
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",track,
Mind Dimension - Tiësto Remix,track,
The Motto - Robin Schulz Remix,track,
Where Are Ü Now (with Justin Bieber),track,
Gettin' over You - Aviccii's Vocal Mix at Night,track,
Silence - Tiësto's Big Room Remix,track,
The Only Way Is Up,track,
Attention - David Guetta Remix,track,
WOW,track,
Secrets,track,
Lovers on the Sun (feat. Sam Martin),track,
Con Calma - Remix,track,
Party Time,track,
Firework,track,
BED,track,
Moth To A Flame (with The Weeknd),track,
tears in the club,track,
Ghost,track,
Chained To The Rhythm,track,
Hey Mama,track,
Love Is Gone - Tiësto Remix,track,
Pepas - David Guetta Remix,track,
Without You (feat. Usher),track,
So Far Away (feat. Jamie Scott & Romy Dya),track,
"The Business, Pt. II",track,
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),track,
Where Them Girls At (feat. Nicki Minaj & Flo Rida),track,
Ritual,track,
Satisfaction,track,
Make It Bun Dem,track,
Play Hard (feat. Ne-Yo & Akon),track,
Last Hurrah - David Guetta Remix,track,
Chemicals (feat. Thomas Troelsen),track,
Harder (feat. Talay Riley),track,
The One That Got Away,track,
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - DJ LBR Remix",track,
The Business - SWACQ Remix,track,
The First Note Is Silent (feat. Tiësto & Underworld) - Instrumental,track,
Save Your Tears,track,
Drive - Edit,track,
tears in the club (feat. the weeknd),track,
Remember,track,
Blinding Lights,track,
All The Way Up (Remix),track,
God is A DJ - Extended,track,
Make It (feat. The Weeknd) [DJAmg Remixer],track,
Tears In The Club (feat. The Weeknd),track,
Sweat - Remix,track,
Wave Rider (From Hotel Transylvania 3),track,
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],track,
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",track,
Floating Through Space,track,
Dancing In The Moonlight (feat. NEIMY) - Tiësto Remix,track,
Family,track,
Dark Horse,track,
Heartbreak Anthem (with David Guetta & Little Mix),track,
Instagram - R3HAB Remix,track,
Ego Death,track,
The Hills,track,
I'm Good (Blue),track,
Lost in the Fire (feat. The Weeknd),track,
Sunshine,track,
E.T.,track,
Domino - David Guetta Remix,track,
Ocean (feat. Khalid) - David Guetta Remix,track,
The Motto,track,
Enola Gay - Dancefloor Killa Remix Edit,track,
Instagram - Bassjackers Remix,track,
Dangerous,track,
latino,genre,World
dub,genre,R&B
swedish,genre,World
reggae,genre,R&B
house,genre,House / Electronic
dancehall,genre,Rap / Hiphop
reggaeton,genre,Rap / Hiphop
show-tunes,genre,Pop
trance,genre,House / Electronic
synth-pop,genre,Pop
punk-rock,genre,Rock
drum-and-bass,genre,House / Electronic
techno,genre,House / Electronic
pop,genre,Pop
songwriter,genre,Indie
latin,genre,World
funk,genre,R&B
dance,genre,House / Electronic
punk,genre,Rock
electro,genre,House / Electronic
alternative,genre,Alternative
country,genre,Folk
trip-hop,genre,Rap / Hiphop
hardcore,genre,Rock
hip-hop,genre,Rap / Hiphop
singer-songwriter,genre,Indie
soul,genre,R&B
german,genre,World
breakbeat,genre,House / Electronic
chill,genre,R&B
deep-house,genre,House / Electronic
progressive-house,genre,House / Electronic
edm,genre,House / Electronic
electronic,genre,House / Electronic
minimal-techno,genre,House / Electronic
dubstep,genre,House / Electronic
club,genre,House / Electronic
